train_size,model,finding,f1,j_stat,mcc
1200,bert-base-german-cased,Opacity,0.91,0.81,0.8
1200,bert-base-german-cased,Effusion,0.93,0.88,0.88
1200,bert-base-german-cased,Pneumothorax,0.75,0.79,0.73
1200,bert-base-german-cased,Thoracic drain,0.93,0.89,0.92
1200,bert-base-german-cased,Venous Catheter,0.96,0.92,0.91
1200,bert-base-german-cased,Gastric Tube,0.97,0.95,0.96
1200,bert-base-german-cased,Tracheal tube/canula,0.97,0.94,0.95
1200,bert-base-german-cased,Misplaced Medical Device,0,0,0
1200,pt-radiobert-from-scratch,Congestion,0.57,0.54,0.47
1200,pt-radiobert-from-scratch,Opacity,0.81,0.58,0.56
1200,pt-radiobert-from-scratch,Effusion,0.82,0.67,0.67
1200,pt-radiobert-from-scratch,Pneumothorax,0.52,0.88,0.56
1200,pt-radiobert-from-scratch,Thoracic drain,0.82,0.77,0.77
1200,pt-radiobert-from-scratch,Venous Catheter,0.95,0.9,0.89
1200,pt-radiobert-from-scratch,Gastric Tube,0.95,0.92,0.93
1200,pt-radiobert-from-scratch,Tracheal tube/canula,0.95,0.91,0.91
1200,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
1200,bert-base-multilingual-cased,Congestion,0.87,0.82,0.83
1200,bert-base-multilingual-cased,Opacity,0.88,0.76,0.74
1200,bert-base-multilingual-cased,Effusion,0.94,0.89,0.9
1200,bert-base-multilingual-cased,Pneumothorax,0.41,0.54,0.4
1200,bert-base-multilingual-cased,Thoracic drain,0.93,0.87,0.9
1200,bert-base-multilingual-cased,Venous Catheter,0.97,0.94,0.93
1200,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.96
1200,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.95,0.96
1200,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
1300,pt-radiobert-base-german-cased,Congestion,0.89,0.84,0.85
1300,pt-radiobert-base-german-cased,Opacity,0.87,0.74,0.72
1300,pt-radiobert-base-german-cased,Effusion,0.93,0.87,0.87
1300,pt-radiobert-base-german-cased,Pneumothorax,0.81,0.84,0.8
1300,pt-radiobert-base-german-cased,Thoracic drain,0.9,0.86,0.88
1300,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.94,0.93
1300,pt-radiobert-base-german-cased,Gastric Tube,0.96,0.94,0.95
1300,pt-radiobert-base-german-cased,Tracheal tube/canula,0.97,0.94,0.95
1300,pt-radiobert-base-german-cased,Misplaced Medical Device,0.33,0.79,0.4
1300,bert-base-german-cased,Congestion,0.9,0.84,0.87
1300,bert-base-german-cased,Opacity,0.89,0.78,0.77
1300,bert-base-german-cased,Effusion,0.93,0.88,0.88
1300,bert-base-german-cased,Pneumothorax,0.87,0.88,0.86
1300,bert-base-german-cased,Thoracic drain,0.94,0.91,0.93
1300,bert-base-german-cased,Venous Catheter,0.96,0.91,0.91
1300,bert-base-german-cased,Gastric Tube,0.97,0.94,0.95
1300,bert-base-german-cased,Tracheal tube/canula,0.96,0.93,0.94
1300,bert-base-german-cased,Misplaced Medical Device,0.15,0.96,0.28
1300,pt-radiobert-from-scratch,Congestion,0.68,0.62,0.6
1300,pt-radiobert-from-scratch,Opacity,0.82,0.6,0.59
1300,pt-radiobert-from-scratch,Effusion,0.89,0.79,0.79
1300,pt-radiobert-from-scratch,Pneumothorax,0.58,0.8,0.59
1300,pt-radiobert-from-scratch,Thoracic drain,0.81,0.76,0.76
1300,pt-radiobert-from-scratch,Venous Catheter,0.95,0.9,0.89
1300,pt-radiobert-from-scratch,Gastric Tube,0.92,0.89,0.9
1300,pt-radiobert-from-scratch,Tracheal tube/canula,0.95,0.9,0.91
1300,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
1300,bert-base-multilingual-cased,Congestion,0.88,0.83,0.85
1300,bert-base-multilingual-cased,Opacity,0.89,0.76,0.76
1300,bert-base-multilingual-cased,Effusion,0.93,0.86,0.87
1300,bert-base-multilingual-cased,Pneumothorax,0.82,0.82,0.8
1300,bert-base-multilingual-cased,Thoracic drain,0.92,0.89,0.9
1300,bert-base-multilingual-cased,Venous Catheter,0.97,0.94,0.93
1300,bert-base-multilingual-cased,Gastric Tube,0.96,0.94,0.95
1300,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.95,0.95
1300,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
1400,pt-radiobert-base-german-cased,Congestion,0.89,0.84,0.85
1400,pt-radiobert-base-german-cased,Opacity,0.89,0.77,0.75
1400,pt-radiobert-base-german-cased,Effusion,0.93,0.87,0.88
1400,pt-radiobert-base-german-cased,Pneumothorax,0.83,0.78,0.82
1400,pt-radiobert-base-german-cased,Thoracic drain,0.95,0.93,0.94
1400,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.94,0.93
1400,pt-radiobert-base-german-cased,Gastric Tube,0.96,0.94,0.95
1400,pt-radiobert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.95
1400,pt-radiobert-base-german-cased,Misplaced Medical Device,0.28,0.76,0.35
1400,bert-base-german-cased,Congestion,0.89,0.83,0.85
1400,bert-base-german-cased,Opacity,0.89,0.77,0.76
1400,bert-base-german-cased,Effusion,0.94,0.89,0.89
1400,bert-base-german-cased,Pneumothorax,0.89,0.85,0.88
1400,bert-base-german-cased,Thoracic drain,0.93,0.89,0.91
1400,bert-base-german-cased,Venous Catheter,0.97,0.94,0.93
1400,bert-base-german-cased,Gastric Tube,0.98,0.96,0.97
1400,bert-base-german-cased,Tracheal tube/canula,0.97,0.94,0.94
1400,bert-base-german-cased,Misplaced Medical Device,0.29,0.96,0.4
1400,pt-radiobert-from-scratch,Congestion,0.64,0.6,0.55
1400,pt-radiobert-from-scratch,Opacity,0.82,0.62,0.58
1400,pt-radiobert-from-scratch,Effusion,0.88,0.78,0.79
1400,pt-radiobert-from-scratch,Pneumothorax,0.6,0.64,0.57
1400,pt-radiobert-from-scratch,Thoracic drain,0.86,0.8,0.82
1400,pt-radiobert-from-scratch,Venous Catheter,0.97,0.92,0.92
1400,pt-radiobert-from-scratch,Gastric Tube,0.92,0.89,0.9
1400,pt-radiobert-from-scratch,Tracheal tube/canula,0.94,0.9,0.9
1400,pt-radiobert-from-scratch,Misplaced Medical Device,0.27,0.63,0.32
1400,bert-base-multilingual-cased,Congestion,0.88,0.83,0.85
1400,bert-base-multilingual-cased,Opacity,0.9,0.8,0.77
1400,bert-base-multilingual-cased,Effusion,0.94,0.89,0.89
1400,bert-base-multilingual-cased,Pneumothorax,0.81,0.77,0.8
1400,bert-base-multilingual-cased,Thoracic drain,0.94,0.9,0.92
1400,bert-base-multilingual-cased,Venous Catheter,0.97,0.93,0.93
1400,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.96
1400,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.94,0.94
1400,bert-base-multilingual-cased,Misplaced Medical Device,0.15,0.96,0.28
1500,pt-radiobert-base-german-cased,Congestion,0.87,0.8,0.84
1500,pt-radiobert-base-german-cased,Opacity,0.88,0.75,0.72
1500,pt-radiobert-base-german-cased,Effusion,0.92,0.85,0.85
1500,pt-radiobert-base-german-cased,Pneumothorax,0.85,0.82,0.84
1500,pt-radiobert-base-german-cased,Thoracic drain,0.92,0.87,0.9
1500,pt-radiobert-base-german-cased,Venous Catheter,0.95,0.89,0.88
1500,pt-radiobert-base-german-cased,Gastric Tube,0.98,0.96,0.97
1500,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.95,0.96
1500,pt-radiobert-base-german-cased,Misplaced Medical Device,0.42,0.74,0.46
1500,bert-base-german-cased,Congestion,0.9,0.84,0.87
1500,bert-base-german-cased,Opacity,0.91,0.82,0.81
1500,bert-base-german-cased,Effusion,0.94,0.88,0.89
1500,bert-base-german-cased,Pneumothorax,0.88,0.82,0.87
1500,bert-base-german-cased,Thoracic drain,0.92,0.87,0.9
1500,bert-base-german-cased,Venous Catheter,0.97,0.93,0.92
1500,bert-base-german-cased,Gastric Tube,0.97,0.94,0.95
1500,bert-base-german-cased,Tracheal tube/canula,0.97,0.94,0.94
1500,bert-base-german-cased,Misplaced Medical Device,0.36,0.63,0.39
1500,pt-radiobert-from-scratch,Congestion,0.75,0.71,0.68
1500,pt-radiobert-from-scratch,Opacity,0.84,0.66,0.65
1500,pt-radiobert-from-scratch,Effusion,0.91,0.84,0.84
1500,pt-radiobert-from-scratch,Pneumothorax,0.63,0.79,0.63
1500,pt-radiobert-from-scratch,Thoracic drain,0.88,0.83,0.84
1500,pt-radiobert-from-scratch,Venous Catheter,0.96,0.92,0.91
1500,pt-radiobert-from-scratch,Gastric Tube,0.92,0.89,0.9
1500,pt-radiobert-from-scratch,Tracheal tube/canula,0.94,0.89,0.9
1500,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
1500,bert-base-multilingual-cased,Congestion,0.9,0.85,0.86
1500,bert-base-multilingual-cased,Opacity,0.9,0.78,0.78
1500,bert-base-multilingual-cased,Effusion,0.93,0.87,0.88
1500,bert-base-multilingual-cased,Pneumothorax,0.87,0.79,0.87
1500,bert-base-multilingual-cased,Thoracic drain,0.94,0.91,0.92
1500,bert-base-multilingual-cased,Venous Catheter,0.96,0.92,0.91
1500,bert-base-multilingual-cased,Gastric Tube,0.96,0.93,0.94
1500,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.96,0.96
1500,bert-base-multilingual-cased,Misplaced Medical Device,0.4,0.96,0.49
1600,pt-radiobert-base-german-cased,Congestion,0.9,0.86,0.87
1600,pt-radiobert-base-german-cased,Opacity,0.9,0.8,0.78
1600,pt-radiobert-base-german-cased,Effusion,0.94,0.88,0.89
1600,pt-radiobert-base-german-cased,Pneumothorax,0.89,0.85,0.88
1600,pt-radiobert-base-german-cased,Thoracic drain,0.94,0.91,0.93
1600,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.92,0.92
1600,pt-radiobert-base-german-cased,Gastric Tube,0.96,0.94,0.95
1600,pt-radiobert-base-german-cased,Tracheal tube/canula,0.97,0.94,0.95
1600,pt-radiobert-base-german-cased,Misplaced Medical Device,0.29,0.96,0.4
1600,bert-base-german-cased,Congestion,0.88,0.83,0.84
1600,bert-base-german-cased,Opacity,0.91,0.83,0.81
1600,bert-base-german-cased,Effusion,0.93,0.87,0.88
1600,bert-base-german-cased,Pneumothorax,0.82,0.72,0.81
1600,bert-base-german-cased,Thoracic drain,0.91,0.86,0.89
1600,bert-base-german-cased,Venous Catheter,0.96,0.92,0.91
1600,bert-base-german-cased,Gastric Tube,0.97,0.94,0.96
1600,bert-base-german-cased,Tracheal tube/canula,0.97,0.94,0.94
1600,bert-base-german-cased,Misplaced Medical Device,0.22,0.96,0.35
1600,pt-radiobert-from-scratch,Congestion,0.65,0.63,0.57
1600,pt-radiobert-from-scratch,Opacity,0.84,0.66,0.64
1600,pt-radiobert-from-scratch,Effusion,0.89,0.81,0.81
1600,pt-radiobert-from-scratch,Pneumothorax,0.47,0.61,0.46
1600,pt-radiobert-from-scratch,Thoracic drain,0.85,0.79,0.81
1600,pt-radiobert-from-scratch,Venous Catheter,0.96,0.91,0.9
1600,pt-radiobert-from-scratch,Gastric Tube,0.93,0.9,0.91
1600,pt-radiobert-from-scratch,Tracheal tube/canula,0.95,0.9,0.91
1600,pt-radiobert-from-scratch,Misplaced Medical Device,0.08,0.95,0.2
1600,bert-base-multilingual-cased,Congestion,0.91,0.86,0.88
1600,bert-base-multilingual-cased,Opacity,0.9,0.79,0.78
1600,bert-base-multilingual-cased,Effusion,0.93,0.87,0.88
1600,bert-base-multilingual-cased,Pneumothorax,0.76,0.76,0.74
1600,bert-base-multilingual-cased,Thoracic drain,0.93,0.87,0.9
1600,bert-base-multilingual-cased,Venous Catheter,0.97,0.93,0.92
1600,bert-base-multilingual-cased,Gastric Tube,0.96,0.94,0.95
1600,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.95,0.96
1600,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
1700,pt-radiobert-base-german-cased,Congestion,0.88,0.81,0.84
1700,pt-radiobert-base-german-cased,Opacity,0.9,0.81,0.79
1700,pt-radiobert-base-german-cased,Effusion,0.93,0.88,0.88
1700,pt-radiobert-base-german-cased,Pneumothorax,0.86,0.78,0.85
1700,pt-radiobert-base-german-cased,Thoracic drain,0.91,0.85,0.89
1700,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.93,0.93
1700,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.94,0.95
1700,pt-radiobert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.95
1700,pt-radiobert-base-german-cased,Misplaced Medical Device,0.47,0.77,0.5
1700,bert-base-german-cased,Congestion,0.89,0.84,0.85
1700,bert-base-german-cased,Opacity,0.9,0.79,0.77
1700,bert-base-german-cased,Effusion,0.93,0.88,0.88
1700,bert-base-german-cased,Pneumothorax,0.88,0.81,0.88
1700,bert-base-german-cased,Thoracic drain,0.91,0.84,0.89
1700,bert-base-german-cased,Venous Catheter,0.97,0.93,0.93
1700,bert-base-german-cased,Gastric Tube,0.97,0.94,0.96
1700,bert-base-german-cased,Tracheal tube/canula,0.96,0.93,0.94
1700,bert-base-german-cased,Misplaced Medical Device,0.29,0.96,0.4
1700,pt-radiobert-from-scratch,Congestion,0.77,0.75,0.71
1700,pt-radiobert-from-scratch,Opacity,0.86,0.71,0.69
1700,pt-radiobert-from-scratch,Effusion,0.92,0.86,0.86
1700,pt-radiobert-from-scratch,Pneumothorax,0.58,0.66,0.56
1700,pt-radiobert-from-scratch,Thoracic drain,0.88,0.85,0.85
1700,pt-radiobert-from-scratch,Venous Catheter,0.96,0.92,0.91
1700,pt-radiobert-from-scratch,Gastric Tube,0.94,0.91,0.92
1700,pt-radiobert-from-scratch,Tracheal tube/canula,0.96,0.92,0.92
1700,pt-radiobert-from-scratch,Misplaced Medical Device,0.41,0.67,0.44
1700,bert-base-multilingual-cased,Congestion,0.89,0.83,0.85
1700,bert-base-multilingual-cased,Opacity,0.9,0.8,0.78
1700,bert-base-multilingual-cased,Effusion,0.93,0.88,0.88
1700,bert-base-multilingual-cased,Pneumothorax,0.82,0.79,0.81
1700,bert-base-multilingual-cased,Thoracic drain,0.93,0.89,0.92
1700,bert-base-multilingual-cased,Venous Catheter,0.97,0.94,0.93
1700,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.96
1700,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.96,0.97
1700,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
1800,pt-radiobert-base-german-cased,Congestion,0.88,0.82,0.84
1800,pt-radiobert-base-german-cased,Opacity,0.89,0.76,0.75
1800,pt-radiobert-base-german-cased,Effusion,0.94,0.88,0.88
1800,pt-radiobert-base-german-cased,Pneumothorax,0.84,0.81,0.82
1800,pt-radiobert-base-german-cased,Thoracic drain,0.91,0.86,0.89
1800,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.94,0.94
1800,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.95
1800,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.97
1800,pt-radiobert-base-german-cased,Misplaced Medical Device,0.61,0.89,0.64
1800,bert-base-german-cased,Congestion,0.9,0.85,0.88
1800,bert-base-german-cased,Opacity,0.9,0.79,0.79
1800,bert-base-german-cased,Effusion,0.93,0.88,0.88
1800,bert-base-german-cased,Pneumothorax,0.81,0.8,0.79
1800,bert-base-german-cased,Thoracic drain,0.95,0.91,0.93
1800,bert-base-german-cased,Venous Catheter,0.97,0.94,0.94
1800,bert-base-german-cased,Gastric Tube,0.96,0.93,0.94
1800,bert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.96
1800,bert-base-german-cased,Misplaced Medical Device,0.63,0.83,0.64
1800,pt-radiobert-from-scratch,Congestion,0.75,0.71,0.69
1800,pt-radiobert-from-scratch,Opacity,0.88,0.75,0.73
1800,pt-radiobert-from-scratch,Effusion,0.92,0.85,0.85
1800,pt-radiobert-from-scratch,Pneumothorax,0.5,0.66,0.5
1800,pt-radiobert-from-scratch,Thoracic drain,0.89,0.83,0.86
1800,pt-radiobert-from-scratch,Venous Catheter,0.96,0.91,0.9
1800,pt-radiobert-from-scratch,Gastric Tube,0.92,0.89,0.9
1800,pt-radiobert-from-scratch,Tracheal tube/canula,0.94,0.89,0.9
1800,pt-radiobert-from-scratch,Misplaced Medical Device,0.22,0.96,0.35
1800,bert-base-multilingual-cased,Congestion,0.87,0.82,0.84
1800,bert-base-multilingual-cased,Opacity,0.89,0.76,0.75
1800,bert-base-multilingual-cased,Effusion,0.94,0.88,0.89
1800,bert-base-multilingual-cased,Pneumothorax,0.84,0.8,0.83
1800,bert-base-multilingual-cased,Thoracic drain,0.94,0.91,0.93
1800,bert-base-multilingual-cased,Venous Catheter,0.97,0.94,0.93
1800,bert-base-multilingual-cased,Gastric Tube,0.97,0.96,0.96
1800,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.95,0.96
1800,bert-base-multilingual-cased,Misplaced Medical Device,0.08,0.95,0.2
1900,pt-radiobert-base-german-cased,Congestion,0.88,0.82,0.84
1900,pt-radiobert-base-german-cased,Opacity,0.9,0.79,0.77
1900,pt-radiobert-base-german-cased,Effusion,0.93,0.87,0.87
1900,pt-radiobert-base-german-cased,Pneumothorax,0.81,0.69,0.8
1900,pt-radiobert-base-german-cased,Thoracic drain,0.92,0.88,0.9
1900,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.94,0.93
1900,pt-radiobert-base-german-cased,Gastric Tube,0.96,0.94,0.95
1900,pt-radiobert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.96
1900,pt-radiobert-base-german-cased,Misplaced Medical Device,0.44,0.84,0.49
1900,bert-base-german-cased,Congestion,0.9,0.86,0.87
1900,bert-base-german-cased,Opacity,0.9,0.8,0.77
1900,bert-base-german-cased,Effusion,0.94,0.88,0.88
1900,bert-base-german-cased,Pneumothorax,0.89,0.82,0.89
1900,bert-base-german-cased,Thoracic drain,0.92,0.86,0.89
1900,bert-base-german-cased,Venous Catheter,0.97,0.94,0.93
1900,bert-base-german-cased,Gastric Tube,0.97,0.95,0.96
1900,bert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.97
1900,bert-base-german-cased,Misplaced Medical Device,0.22,0.96,0.35
1900,pt-radiobert-from-scratch,Congestion,0.64,0.6,0.55
1900,pt-radiobert-from-scratch,Opacity,0.87,0.73,0.7
1900,pt-radiobert-from-scratch,Effusion,0.91,0.84,0.84
1900,pt-radiobert-from-scratch,Pneumothorax,0.62,0.76,0.62
1900,pt-radiobert-from-scratch,Thoracic drain,0.88,0.82,0.84
1900,pt-radiobert-from-scratch,Venous Catheter,0.97,0.93,0.92
1900,pt-radiobert-from-scratch,Gastric Tube,0.94,0.91,0.92
1900,pt-radiobert-from-scratch,Tracheal tube/canula,0.94,0.9,0.9
1900,pt-radiobert-from-scratch,Misplaced Medical Device,0.27,0.63,0.32
1900,bert-base-multilingual-cased,Congestion,0.9,0.86,0.87
1900,bert-base-multilingual-cased,Opacity,0.91,0.83,0.81
1900,bert-base-multilingual-cased,Effusion,0.94,0.88,0.88
1900,bert-base-multilingual-cased,Pneumothorax,0.88,0.81,0.88
1900,bert-base-multilingual-cased,Thoracic drain,0.93,0.89,0.92
1900,bert-base-multilingual-cased,Venous Catheter,0.97,0.93,0.92
1900,bert-base-multilingual-cased,Gastric Tube,0.97,0.94,0.96
1900,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.95,0.96
1900,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
2000,pt-radiobert-base-german-cased,Congestion,0.89,0.82,0.85
2000,pt-radiobert-base-german-cased,Opacity,0.89,0.79,0.76
2000,pt-radiobert-base-german-cased,Effusion,0.93,0.87,0.88
2000,pt-radiobert-base-german-cased,Pneumothorax,0.85,0.81,0.84
2000,pt-radiobert-base-german-cased,Thoracic drain,0.93,0.9,0.91
2000,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.94,0.94
2000,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
2000,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.95,0.96
2000,pt-radiobert-base-german-cased,Misplaced Medical Device,0.33,0.79,0.4
2000,bert-base-german-cased,Congestion,0.91,0.86,0.88
2000,bert-base-german-cased,Opacity,0.9,0.8,0.78
2000,bert-base-german-cased,Effusion,0.93,0.87,0.87
2000,bert-base-german-cased,Pneumothorax,0.86,0.77,0.86
2000,bert-base-german-cased,Thoracic drain,0.92,0.88,0.9
2000,bert-base-german-cased,Venous Catheter,0.97,0.94,0.93
2000,bert-base-german-cased,Gastric Tube,0.98,0.96,0.97
2000,bert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.96
2000,bert-base-german-cased,Misplaced Medical Device,0.59,0.82,0.61
2000,pt-radiobert-from-scratch,Congestion,0.75,0.68,0.67
2000,pt-radiobert-from-scratch,Opacity,0.86,0.7,0.68
2000,pt-radiobert-from-scratch,Effusion,0.9,0.82,0.82
2000,pt-radiobert-from-scratch,Pneumothorax,0.6,0.75,0.6
2000,pt-radiobert-from-scratch,Thoracic drain,0.89,0.85,0.86
2000,pt-radiobert-from-scratch,Venous Catheter,0.96,0.92,0.91
2000,pt-radiobert-from-scratch,Gastric Tube,0.94,0.91,0.92
2000,pt-radiobert-from-scratch,Tracheal tube/canula,0.96,0.93,0.94
2000,pt-radiobert-from-scratch,Misplaced Medical Device,0.33,0.79,0.4
2000,bert-base-multilingual-cased,Congestion,0.89,0.83,0.86
2000,bert-base-multilingual-cased,Opacity,0.91,0.81,0.8
2000,bert-base-multilingual-cased,Effusion,0.94,0.88,0.89
2000,bert-base-multilingual-cased,Pneumothorax,0.79,0.71,0.78
2000,bert-base-multilingual-cased,Thoracic drain,0.96,0.93,0.95
2000,bert-base-multilingual-cased,Venous Catheter,0.97,0.94,0.94
2000,bert-base-multilingual-cased,Gastric Tube,0.98,0.96,0.97
2000,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.95,0.95
2000,bert-base-multilingual-cased,Misplaced Medical Device,0.08,0.95,0.2
2250,pt-radiobert-base-german-cased,Congestion,0.87,0.8,0.83
2250,pt-radiobert-base-german-cased,Opacity,0.91,0.81,0.8
2250,pt-radiobert-base-german-cased,Effusion,0.93,0.87,0.88
2250,pt-radiobert-base-german-cased,Pneumothorax,0.83,0.78,0.82
2250,pt-radiobert-base-german-cased,Thoracic drain,0.94,0.9,0.92
2250,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.94,0.93
2250,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
2250,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
2250,pt-radiobert-base-german-cased,Misplaced Medical Device,0.63,0.83,0.64
2250,bert-base-german-cased,Congestion,0.9,0.85,0.87
2250,bert-base-german-cased,Opacity,0.92,0.83,0.82
2250,bert-base-german-cased,Effusion,0.94,0.88,0.88
2250,bert-base-german-cased,Pneumothorax,0.87,0.81,0.86
2250,bert-base-german-cased,Thoracic drain,0.95,0.91,0.93
2250,bert-base-german-cased,Venous Catheter,0.98,0.95,0.95
2250,bert-base-german-cased,Gastric Tube,0.97,0.94,0.96
2250,bert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.96
2250,bert-base-german-cased,Misplaced Medical Device,0.55,0.97,0.6
2250,pt-radiobert-from-scratch,Congestion,0.83,0.77,0.77
2250,pt-radiobert-from-scratch,Opacity,0.87,0.73,0.71
2250,pt-radiobert-from-scratch,Effusion,0.91,0.84,0.84
2250,pt-radiobert-from-scratch,Pneumothorax,0.63,0.86,0.65
2250,pt-radiobert-from-scratch,Thoracic drain,0.92,0.89,0.9
2250,pt-radiobert-from-scratch,Venous Catheter,0.97,0.93,0.92
2250,pt-radiobert-from-scratch,Gastric Tube,0.94,0.91,0.92
2250,pt-radiobert-from-scratch,Tracheal tube/canula,0.96,0.92,0.93
2250,pt-radiobert-from-scratch,Misplaced Medical Device,0.29,0.96,0.4
2250,bert-base-multilingual-cased,Congestion,0.9,0.86,0.87
2250,bert-base-multilingual-cased,Opacity,0.92,0.83,0.82
2250,bert-base-multilingual-cased,Effusion,0.94,0.88,0.88
2250,bert-base-multilingual-cased,Pneumothorax,0.85,0.83,0.83
2250,bert-base-multilingual-cased,Thoracic drain,0.94,0.91,0.92
2250,bert-base-multilingual-cased,Venous Catheter,0.98,0.95,0.95
2250,bert-base-multilingual-cased,Gastric Tube,0.96,0.93,0.95
2250,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.96,0.96
2250,bert-base-multilingual-cased,Misplaced Medical Device,0.34,0.96,0.45
2500,pt-radiobert-base-german-cased,Congestion,0.87,0.81,0.83
2500,pt-radiobert-base-german-cased,Opacity,0.9,0.81,0.79
2500,pt-radiobert-base-german-cased,Effusion,0.92,0.86,0.86
2500,pt-radiobert-base-german-cased,Pneumothorax,0.88,0.81,0.88
2500,pt-radiobert-base-german-cased,Thoracic drain,0.95,0.91,0.94
2500,pt-radiobert-base-german-cased,Venous Catheter,0.98,0.95,0.94
2500,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
2500,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.95,0.96
2500,pt-radiobert-base-german-cased,Misplaced Medical Device,0.61,0.89,0.64
2500,bert-base-german-cased,Congestion,0.89,0.84,0.85
2500,bert-base-german-cased,Opacity,0.91,0.81,0.8
2500,bert-base-german-cased,Effusion,0.93,0.88,0.88
2500,bert-base-german-cased,Pneumothorax,0.88,0.82,0.87
2500,bert-base-german-cased,Thoracic drain,0.95,0.92,0.94
2500,bert-base-german-cased,Venous Catheter,0.98,0.95,0.94
2500,bert-base-german-cased,Gastric Tube,0.97,0.95,0.96
2500,bert-base-german-cased,Tracheal tube/canula,0.98,0.95,0.96
2500,bert-base-german-cased,Misplaced Medical Device,0.67,0.98,0.7
2500,pt-radiobert-from-scratch,Congestion,0.82,0.75,0.76
2500,pt-radiobert-from-scratch,Opacity,0.89,0.77,0.76
2500,pt-radiobert-from-scratch,Effusion,0.92,0.84,0.85
2500,pt-radiobert-from-scratch,Pneumothorax,0.83,0.91,0.82
2500,pt-radiobert-from-scratch,Thoracic drain,0.93,0.87,0.9
2500,pt-radiobert-from-scratch,Venous Catheter,0.97,0.94,0.93
2500,pt-radiobert-from-scratch,Gastric Tube,0.95,0.91,0.93
2500,pt-radiobert-from-scratch,Tracheal tube/canula,0.96,0.93,0.94
2500,pt-radiobert-from-scratch,Misplaced Medical Device,0.32,0.68,0.37
2500,bert-base-multilingual-cased,Congestion,0.88,0.83,0.85
2500,bert-base-multilingual-cased,Opacity,0.91,0.82,0.81
2500,bert-base-multilingual-cased,Effusion,0.94,0.88,0.89
2500,bert-base-multilingual-cased,Pneumothorax,0.9,0.81,0.89
2500,bert-base-multilingual-cased,Thoracic drain,0.94,0.89,0.92
2500,bert-base-multilingual-cased,Venous Catheter,0.98,0.95,0.95
2500,bert-base-multilingual-cased,Gastric Tube,0.98,0.96,0.97
2500,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.95,0.96
2500,bert-base-multilingual-cased,Misplaced Medical Device,0.5,0.97,0.57
2750,pt-radiobert-base-german-cased,Congestion,0.89,0.82,0.85
2750,pt-radiobert-base-german-cased,Opacity,0.9,0.8,0.79
2750,pt-radiobert-base-german-cased,Effusion,0.93,0.87,0.88
2750,pt-radiobert-base-german-cased,Pneumothorax,0.86,0.82,0.85
2750,pt-radiobert-base-german-cased,Thoracic drain,0.93,0.89,0.91
2750,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.94,0.94
2750,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
